6198pb01,4.04
15068pb318L,0.57
75902pb25,0.59
75222stk01,0.5
4795stk01,1.0
3008pb176,3.13
42047stk01b,1.0
85984pb181,0.35
68591,0.14
25550,5.8
15458pb015R,7.0
43710pb11,1.3
31363c02pb03,29.0
11477pb142,0.31
32348pb007R,2.0
87079pb1216,0.9
3069bpb0764,0.26
x1435pb026,3.06
BA003pb13R,6.0
8665stk03a,0.48
2235,48.0
2454pb178,3.5
24246pb019,0.1
3245cpb197,1.5
3626cpb2449,0.55
2774stk01,0.96
3037pb019,2.13
3068bpb0693,0.48
64782pb051,8.8
785,59.7
2456pb017,3.74
15625pb022,5.15
75604,0.27
79846,2.27
11946pb032,1.43
dupskirt03,2.0
6259,3.92
49816,8.0
64393pb052,4.0
2958pb014,0.8
3298pb064,1.3
3009pb149,2.42
76105stk01,2.85
85970pb019L,2.2
66899,1.78
3004pb112,0.83
3068bpb1487,0.48
2454pb013,3.45
59349pb208,5.68
3068bpb0426,0.45
8638stk01,1.8
33187,1.71
x77ac25,0.6
BA043pb02,1.5
6005,1.0
87544pb023,1.22
14769pb195,0.33
87552pb019,1.05
66857pb028,0.78
44817,2.15
70351stk01,0.6
2756pb216,5.0
70418stk01,1.0
BA307pb01L,5.24
6179pb002,1.94
59349pb232,5.7
69901pb04,0.6
3437pb063,6.75
50950pb002,0.75
70641stk01,1.52
42060pb37,5.25
53584,4.7
65066pb01,2.89
32524pb047,1.74
2950pb01R,6.72
33031pb01,2.75
4162pb276L,1.06
58230,4.0
3001pb040,2.27
76142stk01,0.4
x95px1,0.14
57895pb071,2.75
31110pb162,13.0
3437pb090,6.75
2335pb118L,0.5
3068bpb0921,0.52
80022stk01,5.58
bb0241,4.0
21835,4.0
3068bpb1278,0.48
7739stk01,4.1
54200pb053,0.24
87544pb001L,1.22
24246pb008,0.14
3069bpb0526L,0.26
44198,6.0
87079pb0272,0.9
BA173pb01,1.45
57895pb059,2.73
6292,15.86
34474,1.03
98223pb031,11.12
22385pb093,0.6
98062c01pb02,18.0
22385pb286L,0.6
25269pb011,0.1
30102,3.93
duptruck02,92.0
22385pb243,0.6
2456pb010,3.76
59349pb215,5.7
41747pb078,2.1
3068bpb0460,0.45
3068bpb0810,0.5
50747pb06,7.4
14769pb216,0.33
93348pb002,2.66
15506pb01,0.98
7685stk01,0.82
2431pb704,0.54
75522pb01,2.39
87079pb0401,0.85
31110pb081,13.0
40449stk01,1.19
3626cpb0312,0.5
2454pb175,3.5
32567,2.19
8277stk01,0.5
87700c04pb01,172.0
3037pb031L,2.1
51509,0.4
3039pb153,1.15
42391pb01,6.0
2431pb696,0.53
6429pb02,23.36
41747pb053,2.0
24246pb007,0.13
14769pb291,0.33
3068bpb1108,0.48
3070bpb099,0.16
3941pb11,1.2
59349pb034,5.7
3068bpb0220,0.45
44676pb017R,0.4
2456pb030,3.5
30118pb01,3.78
4907pb01,18.0
98088pb01,3.5
3242,8.42
3245cpb025,1.5
bb0153pb15,4.2
3005ptB,0.46
3855pb015,1.7
4743pb02,9.6
87079pb0611,0.9
2454pb038,3.5
59349pb064,5.7
75093stk01b,2.1
18944pb021,5.06
2756pb122,5.0
7296stk01,0.57
30386pb04,1.17
3069bpb0285,0.25
30413pb088L,1.02
47576pb01,1.0
64782pb015L,8.8
4150pb130,1.0
44814,3.48
15068pb064,0.57
3068bpb0063,0.45
73241,8.0
2440pb016,2.21
3008px34,3.39
6037,3.45
3039pb106,1.15
3068bpb0130,0.45
98138pb237,0.11
6177pb013,5.2
87079pb0336,0.9
